#{"t_start": 1763476345.0898216, "env_id": "None"}
r,l,t
-39.5,31,2.626497
-33.88,22,2.636573
-48.9,39,2.957895
-49.4,40,3.061555
-39.13,28,3.218577
-62.65,64,3.446605
-55.65,60,3.505307
-58.1,50,3.541509
-71.45,73,3.57957
-63.0345,57,3.610609
-59.45,63,3.644168
-57.2,62,3.68059
-53.6,47,3.703482
-61.85,53,3.732679
-62.85,54,3.764417
-56.95,60,3.805305
-47.9,42,3.836509
-53.15,47,3.86154
-46.23,37,3.887247
-59.9,55,3.923314
-56.9,51,3.956873
-57.5,49,3.98319
-79.65,61,4.019059
-49.13,39,4.043621
-43.3,37,4.078027
-67.8,57,4.107746
-59.35,49,4.139038
-35.48,26,4.156061
-51.83,43,4.176208
-52.0,45,4.202744
-44.73,36,4.225629
-47.53,35,4.243649
-67.25,57,4.27672
-29.81,20,4.28598
-48.85,39,4.316509
-53.95,43,4.34457
-45.45,40,4.364597
-46.4,38,4.389125
-83.75,66,4.425404
-39.9,31,4.43992
-34.98,24,4.455945
-28.86,18,4.465456
-53.85,42,4.490087
-54.8,46,4.512122
-49.55,37,4.534509
-37.33,25,4.546211
